Model,ROC AUC (Train),ROC AUC (Test),Optimal Threshold,Accuracy (Default),Accuracy (Adjusted),Precision (Default),Precision (Adjusted),Recall (Default),Recall (Adjusted),F1-Score (Default),F1-Score (Adjusted)
3NN (ANOVA),1.0,0.7860655737704918,0.6637950589218584,0.7283950617283951,0.7530864197530864,0.4642857142857143,0.5,0.65,0.5,0.5416666666666666,0.5
3NN (SFS),1.0,0.8327868852459017,0.6947187677748372,0.7901234567901234,0.8271604938271605,0.5555555555555556,0.65,0.75,0.65,0.6382978723404256,0.65
5NN (ANOVA),1.0,0.840983606557377,0.7299761671874991,0.7407407407407407,0.8271604938271605,0.4838709677419355,0.65,0.75,0.65,0.5882352941176471,0.65
5NN (SFS),1.0,0.8729508196721312,0.7990566353043769,0.8024691358024691,0.8271604938271605,0.5714285714285714,0.65,0.8,0.65,0.6666666666666666,0.65
10NN (ANOVA),1.0,0.8426229508196721,0.6985794187400399,0.7283950617283951,0.8271604938271605,0.46875,0.65,0.75,0.65,0.5769230769230769,0.65
10NN (SFS),1.0,0.8610655737704918,0.7437973583248587,0.8024691358024691,0.7777777777777778,0.5769230769230769,0.55,0.75,0.55,0.6521739130434783,0.55
15NN (ANOVA),1.0,0.8426229508196721,0.6637058365082464,0.7530864197530864,0.8518518518518519,0.5,0.7,0.75,0.7,0.6,0.7
15NN (SFS),1.0,0.8672131147540983,0.7870599474166561,0.7530864197530864,0.8271604938271605,0.5,0.65,0.85,0.65,0.6296296296296297,0.65
MLP2 (ANOVA),0.758624,0.6782786885245902,0.6422469925470267,0.6419753086419753,0.654320987654321,0.38461538461538464,0.3,0.75,0.3,0.5084745762711864,0.3
MLP2 (SFS),0.8080430000000001,0.7598360655737705,0.7647365100017374,0.691358024691358,0.7283950617283951,0.42857142857142855,0.45454545454545453,0.75,0.5,0.5454545454545454,0.47619047619047616
MLP4 (ANOVA),0.8487214999999999,0.7573770491803279,0.7226120249677754,0.6419753086419753,0.7530864197530864,0.3902439024390244,0.5,0.8,0.5,0.5245901639344263,0.5
MLP4 (SFS),0.8614504999999999,0.775,0.6651797227664599,0.7160493827160493,0.7037037037037037,0.45454545454545453,0.4090909090909091,0.75,0.45,0.5660377358490566,0.42857142857142855
MLP6 (ANOVA),0.8789925000000001,0.7942622950819672,0.7586107999148151,0.7407407407407407,0.7777777777777778,0.4857142857142857,0.55,0.85,0.55,0.6181818181818182,0.55
MLP6 (SFS),0.913988,0.7278688524590163,0.5969550315702162,0.691358024691358,0.7037037037037037,0.391304347826087,0.4,0.45,0.4,0.4186046511627907,0.4
MLP8 (ANOVA),0.9080360000000001,0.7270491803278689,0.7932356927145998,0.654320987654321,0.6790123456790124,0.3888888888888889,0.35,0.7,0.35,0.5,0.35
MLP8 (SFS),0.940863,0.7754098360655738,0.6866953129749295,0.7283950617283951,0.7777777777777778,0.46153846153846156,0.55,0.6,0.55,0.5217391304347826,0.55
RF (ANOVA),0.999156,0.8368852459016393,0.6060304550161567,0.7654320987654321,0.8271604938271605,0.5172413793103449,0.65,0.75,0.65,0.6122448979591837,0.65
RF (SFS),0.999156,0.8368852459016393,0.6060304550161567,0.7654320987654321,0.8271604938271605,0.5172413793103449,0.65,0.75,0.65,0.6122448979591837,0.65
SVM (ANOVA),0.9706145,0.7647540983606558,0.759594845299638,0.6790123456790124,0.7530864197530864,0.4,0.5,0.6,0.5,0.48,0.5
SVM (SFS),0.966131,0.7889344262295083,0.829138716769953,0.6666666666666666,0.7530864197530864,0.40540540540540543,0.5,0.75,0.5,0.5263157894736842,0.5
