Model,ROC AUC (CV),ROC AUC (Test),CV Time (s),Final Fit Time (s)
RF,0.8556220238095239,0.8438524590163934,0.184830904006958,0.09157705307006836
SVM,0.7494017857142856,0.8,0.03831601142883301,0.009875059127807617
MLP2,0.6340550595238095,0.7622950819672132,0.5392298698425293,0.22503399848937988
MLP4,0.7619270833333334,0.8352459016393443,0.5513930320739746,0.3016359806060791
MLP6,0.8688154761904763,0.8336065573770493,0.6188690662384033,0.38660478591918945
MLP8,0.8312946428571429,0.8737704918032788,0.5142519474029541,0.26763200759887695
3NN,0.7903630952380951,0.8172131147540984,0.025966167449951172,0.00078582763671875
5NN,0.7584657738095237,0.7905737704918033,0.03559589385986328,0.0007739067077636719
10NN,0.701376488095238,0.669672131147541,0.023890256881713867,0.0007379055023193359
15NN,0.656625,0.6077868852459016,0.013743877410888672,0.0008718967437744141
