Model,Feature Selection,ROC AUC Score,Selected Features,Best Params,Refit Time (s),Search Time (s),Convergence
RF,ANOVA,0.9009166666666667,"HRV_MeanNN, HRV_pNN50, HRV_LF, HRV_HF, HRV_LFHF, HRV_pNN20, HRV_VLF, HRV_maxNN, HRV_minNN, HRV_prc80NN, HRV_madNN, EDA_Tonic, SCR_Amplitude, SCR_Onsets, SCR_Phasic, HRV_pNN50_norm, HRV_LF_norm, HRV_HF_norm, HRV_pNN20_norm, HRV_minNN_norm, EDA_Tonic_norm, SCR_Amplitude_norm, SCR_Onsets_norm, SCR_Phasic_norm","{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200, 'feature_selection__k': 24}",0.0005910396575927734,517.8838300704956,
RF,SFS,0.8722529761904761,"HRV_MeanNN, HRV_pNN50, HRV_HF, HRV_LFHF, HRV_pNN20, HRV_minNN, EDA_Tonic, SCR_Amplitude, SCR_Onsets, SCR_Phasic, HRV_pNN50_norm, HRV_HF_norm, HRV_VLF_norm, SCR_Amplitude_norm","{'feature_selection__n_features_to_select': 14, 'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_features': None, 'classifier__max_depth': 10}",0.0,1807.0528900623322,
SVM,ANOVA,0.859217261904762,"HRV_pNN50, HRV_HF, HRV_pNN20, HRV_maxNN, HRV_madNN, EDA_Tonic, SCR_Amplitude, SCR_Onsets, HRV_LF_norm, HRV_pNN20_norm, EDA_Tonic_norm, SCR_Phasic_norm","{'classifier__C': 100, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf', 'feature_selection__k': 12}",1.1920928955078125e-06,108.59167885780334,
SVM,SFS,0.8889910714285714,"HRV_MeanNN, HRV_pNN50, HRV_LF, HRV_HF, HRV_LFHF, HRV_pNN20, HRV_maxNN, HRV_prc80NN, HRV_madNN, EDA_Tonic, SCR_Amplitude, SCR_Onsets, HRV_pNN50_norm, HRV_LF_norm, HRV_HF_norm, HRV_pNN20_norm, HRV_VLF_norm, EDA_Tonic_norm, SCR_Amplitude_norm, SCR_Onsets_norm","{'feature_selection__n_features_to_select': 20, 'classifier__kernel': 'rbf', 'classifier__gamma': 'scale', 'classifier__C': 100}",0.0,160.17270493507385,
MLP2,ANOVA,0.8082559523809524,"HRV_MeanNN, HRV_pNN50, HRV_HF, HRV_LFHF, HRV_pNN20, HRV_maxNN, HRV_prc80NN, HRV_madNN, EDA_Tonic, SCR_Amplitude, SCR_Onsets, HRV_LF_norm, HRV_HF_norm, HRV_pNN20_norm, EDA_Tonic_norm, SCR_Phasic_norm","{'classifier__alpha': 0.0001, 'classifier__batch_size': 64, 'classifier__learning_rate_init': 0.1, 'feature_selection__k': 16}",2.1457672119140625e-06,218.70234179496765,52.0
MLP2,SFS,0.766452380952381,"HRV_MeanNN, HRV_pNN50, HRV_LF, HRV_HF, HRV_LFHF, HRV_pNN20, HRV_maxNN, HRV_minNN, HRV_prc80NN, HRV_madNN, EDA_Tonic, SCR_Amplitude, SCR_Onsets, SCR_Phasic, HRV_LF_norm, HRV_pNN20_norm, HRV_VLF_norm, HRV_minNN_norm, EDA_Tonic_norm, SCR_Amplitude_norm, SCR_Onsets_norm, SCR_Phasic_norm","{'feature_selection__n_features_to_select': 22, 'classifier__learning_rate_init': 0.1, 'classifier__batch_size': 16, 'classifier__alpha': 1e-05}",0.0,1820.1784687042236,73.0
MLP4,ANOVA,0.8652931547619047,"HRV_MeanNN, HRV_pNN50, HRV_LF, HRV_HF, HRV_LFHF, HRV_pNN20, HRV_VLF, HRV_maxNN, HRV_minNN, HRV_prc80NN, HRV_madNN, EDA_Tonic, SCR_Amplitude, SCR_Onsets, HRV_pNN50_norm, HRV_LF_norm, HRV_HF_norm, HRV_pNN20_norm, HRV_minNN_norm, EDA_Tonic_norm, SCR_Onsets_norm, SCR_Phasic_norm","{'classifier__alpha': 1e-05, 'classifier__batch_size': 32, 'classifier__learning_rate_init': 0.1, 'feature_selection__k': 22}",1.9073486328125e-06,348.25432801246643,49.0
MLP4,SFS,0.8403154761904762,"HRV_MeanNN, HRV_pNN50, HRV_LF, HRV_HF, HRV_LFHF, HRV_VLF, HRV_minNN, HRV_prc80NN, HRV_madNN, EDA_Tonic, SCR_Amplitude, SCR_Onsets, SCR_Phasic, HRV_pNN50_norm, HRV_LF_norm, HRV_pNN20_norm, HRV_VLF_norm, HRV_minNN_norm, EDA_Tonic_norm, SCR_Amplitude_norm, SCR_Onsets_norm, SCR_Phasic_norm","{'feature_selection__n_features_to_select': 22, 'classifier__learning_rate_init': 0.1, 'classifier__batch_size': 16, 'classifier__alpha': 1e-05}",0.0,3090.6460762023926,66.0
MLP6,ANOVA,0.8864196428571429,"HRV_MeanNN, HRV_pNN50, HRV_LF, HRV_HF, HRV_LFHF, HRV_pNN20, HRV_VLF, HRV_maxNN, HRV_minNN, HRV_prc80NN, HRV_madNN, EDA_Tonic, SCR_Amplitude, SCR_Onsets, SCR_Phasic, HRV_pNN50_norm, HRV_LF_norm, HRV_HF_norm, HRV_pNN20_norm, HRV_minNN_norm, EDA_Tonic_norm, SCR_Amplitude_norm, SCR_Onsets_norm, SCR_Phasic_norm","{'classifier__alpha': 1e-05, 'classifier__batch_size': 16, 'classifier__learning_rate_init': 0.1, 'feature_selection__k': 24}",2.1457672119140625e-06,403.6295747756958,61.0
MLP6,SFS,0.84709375,"HRV_MeanNN, HRV_pNN50, HRV_LF, HRV_HF, HRV_LFHF, HRV_pNN20, HRV_maxNN, HRV_minNN, HRV_prc80NN, HRV_madNN, EDA_Tonic, SCR_Amplitude, SCR_Onsets, SCR_Phasic, HRV_pNN50_norm, HRV_LF_norm, HRV_HF_norm, HRV_pNN20_norm, EDA_Tonic_norm, SCR_Amplitude_norm, SCR_Onsets_norm, SCR_Phasic_norm","{'feature_selection__n_features_to_select': 22, 'classifier__learning_rate_init': 0.1, 'classifier__batch_size': 32, 'classifier__alpha': 0.01}",0.0,3070.9735891819,59.0
MLP8,ANOVA,0.8885714285714286,"HRV_MeanNN, HRV_pNN50, HRV_LF, HRV_HF, HRV_LFHF, HRV_pNN20, HRV_VLF, HRV_maxNN, HRV_prc80NN, HRV_madNN, EDA_Tonic, SCR_Amplitude, SCR_Onsets, HRV_pNN50_norm, HRV_LF_norm, HRV_HF_norm, HRV_pNN20_norm, EDA_Tonic_norm, SCR_Onsets_norm, SCR_Phasic_norm","{'classifier__alpha': 0.1, 'classifier__batch_size': 32, 'classifier__learning_rate_init': 0.003, 'feature_selection__k': 20}",1.9073486328125e-06,442.4700527191162,330.0
MLP8,SFS,0.8587113095238095,"HRV_MeanNN, HRV_pNN50, HRV_LF, HRV_HF, HRV_pNN20, HRV_maxNN, HRV_minNN, HRV_madNN, EDA_Tonic, SCR_Amplitude, SCR_Phasic, HRV_pNN50_norm, HRV_LF_norm, HRV_HF_norm, HRV_pNN20_norm, HRV_minNN_norm, EDA_Tonic_norm, SCR_Amplitude_norm, SCR_Onsets_norm, SCR_Phasic_norm","{'feature_selection__n_features_to_select': 20, 'classifier__learning_rate_init': 0.001, 'classifier__batch_size': 64, 'classifier__alpha': 0.01}",4.0531158447265625e-06,3437.585551738739,1152.0
