Model,CV ROC_AUC,ROC AUC (Train),ROC AUC (Test),Optimal Threshold,Accuracy (Default),Accuracy (Adjusted),Precision (Default),Precision (Adjusted),Recall (Default),Recall (Adjusted),F1-Score (Default),F1-Score (Adjusted)
3NN (ANOVA),0.9177232142857144,1,0.8229508196721311,0.6060102194218323,0.7777777777777778,0.7777777777777778,0.55,0.55,0.55,0.55,0.55,0.55
3NN (SFS),0.9111770833333332,1,0.8602459016393442,0.3215762355691049,0.8395061728395061,0.8271604938271605,0.8181818181818182,0.65,0.45,0.65,0.5806451612903226,0.65
5NN (ANOVA),0.926020833,1,0.8561475409836066,0.45843102613151876,0.8148148148148148,0.7777777777777778,0.6470588235294118,0.55,0.55,0.55,0.5945945945945946,0.55
5NN (SFS),0.9041428571428571,1,0.8725409836065573,0.40577904777256796,0.7901234567901234,0.7777777777777778,0.6,0.55,0.45,0.55,0.5142857142857142,0.55
10NN (ANOVA),0.9045148809523809,1,0.8442622950819672,0.41331645147637947,0.7901234567901234,0.8024691358024691,0.6,0.6,0.45,0.6,0.5142857142857142,0.6
10NN (SFS),0.8672752976190475,1,0.8065573770491803,0.3304358358049519,0.8024691358024691,0.7530864197530864,0.7,0.5,0.35,0.5,0.4666666666666667,0.5
15NN (ANOVA),0.8843690476190476,1,0.7754098360655738,0.4554846784225094,0.7530864197530864,0.7777777777777778,0.5,0.55,0.35,0.55,0.4117647058823529,0.55
15NN (SFS),0.7767232142857143,1,0.7762295081967213,0.38883434281585294,0.7901234567901234,0.7777777777777778,0.8,0.55,0.2,0.55,0.32,0.55
MLP2 (ANOVA),0.8082559523809524,0.8661431797888544,0.7155737704918033,0.42163823571158676,0.7777777777777778,0.7530864197530864,0.5625,0.5,0.45,0.5,0.5,0.5
MLP2 (SFS),0.766452381,0.8315562792163453,0.7668032786885246,0.4831599883262146,0.7530864197530864,0.7037037037037037,0,0.4411764705882353,0,0.75,0,0.5555555555555556
MLP4 (ANOVA),0.8652931547619047,0.9549871316770839,0.8524590163934427,0.7595511738744547,0.8148148148148148,0.8271604938271605,0.6086956521739131,0.65,0.7,0.65,0.6511627906976745,0.65
MLP4 (SFS),0.8403154761904762,0.9696937864383635,0.7782786885245901,0.5288894637784399,0.8024691358024691,0.8024691358024691,0.6,0.6,0.6,0.6,0.6,0.6
MLP6 (ANOVA),0.8864196428571429,0.9794106833342088,0.8360655737704918,0.5464645983332773,0.8024691358024691,0.8024691358024691,0.6,0.6,0.6,0.6,0.6,0.6
MLP6 (SFS),0.84709375,0.974919901,0.8385245901639344,0.1202808430899015,0.8271604938271605,0.7530864197530864,0.8,0.5,0.4,0.5,0.5333333333333333,0.5
MLP8 (ANOVA),0.8885714285714286,0.9905982457061819,0.8680327868852459,0.4430726219390956,0.8024691358024691,0.8024691358024691,0.6111111111111112,0.6,0.55,0.6,0.5789473684210527,0.6
MLP8 (SFS),0.8587113095238095,0.9998949524659909,0.809016393,0.4162583236364933,0.7901234567901234,0.7777777777777778,0.5882352941176471,0.55,0.5,0.55,0.5405405405405406,0.55
RF (ANOVA),0.9009166666666667,1,0.8659836065573769,0.345,0.8271604938271605,0.8271604938271605,0.75,0.65,0.45,0.65,0.5625,0.65
RF (SFS),0.8722529761904761,1,0.8483606557377049,0.41440932694833404,0.7777777777777778,0.8271604938271605,0.5714285714285714,0.65,0.4,0.65,0.47058823529411764,0.65
SVM (ANOVA),0.859217262,0.9995272860969588,0.771311475,0.4636985687842355,0.7530864197530864,0.7283950617283951,0.5,0.45,0.6,0.45,0.5454545454545454,0.45
SVM (SFS),0.8889910714285714,1,0.8590163934426229,0.4106160178487262,0.8271604938271605,0.8271604938271605,0.65,0.65,0.65,0.65,0.65,0.65
