Feature,SHAP Importance,SHAP Percentage
HRV_pNN20,0.06537564104021382,12.252857027167378
HRV_VLF,0.06157904284954981,11.541289628674207
SCR_Amplitude_norm,0.06076210053568304,11.38817637101459
HRV_minNN,0.060680312113010365,11.372847391695377
EDA_Tonic,0.0535113685456426,10.029227058966915
HRV_VLF_norm,0.05267779455994388,9.87299665409716
HRV_LF_norm,0.0486325620776776,9.114829629526442
SCR_Amplitude,0.04713128765788701,8.833457232536517
HRV_pNN50,0.04354429993359271,8.161175522641734
HRV_pNN20_norm,0.03965985394133538,7.433143481722924
HRV_pNN50_norm,4.1209176370028915e-12,7.723521150005954e-10
SCR_Phasic,2.5114035984183305e-12,4.706931930503766e-10
HRV_minNN_norm,9.94297313284197e-13,1.8635355047109872e-10
HRV_LF,9.224576787534388e-13,1.7288919651932814e-10
HRV_MeanNN,8.431978633073097e-13,1.5803413473777383e-10
HRV_madNN,8.427255235664489e-13,1.5794560770811984e-10
HRV_HF_norm,2.0536826316652935e-13,3.8490604856162166e-11
SCR_Onsets,0.0,0.0
HRV_prc80NN,0.0,0.0
HRV_maxNN,0.0,0.0
HRV_LFHF,0.0,0.0
EDA_Tonic_norm,0.0,0.0
HRV_HF,0.0,0.0
SCR_Onsets_norm,0.0,0.0
SCR_Phasic_norm,0.0,0.0
