Feature,SHAP Importance,SHAP Percentage
EDA_Tonic,0.08889327602212589,16.397388442409742
HRV_LF_norm,0.08370046467363315,15.439514589631553
HRV_pNN20,0.05556901965839011,10.250345599544874
HRV_pNN20_norm,0.05388356841821734,9.93944470891986
HRV_pNN50,0.052784635341456526,9.736733847781448
SCR_Amplitude,0.047044305078242685,8.677863826046519
HRV_prc80NN,0.04619487950905717,8.521177497967182
SCR_Onsets,0.045023863044349174,8.305170025821651
HRV_HF,0.04198973574740097,7.745490305396058
SCR_Phasic_norm,0.02703475091403257,4.986871133772199
HRV_VLF_norm,2.4686099300989804e-11,4.553635297066521e-09
EDA_Tonic_norm,2.0799845647500255e-11,3.836771057231993e-09
HRV_LFHF,1.6807521115859148e-11,3.1003408224278822e-09
HRV_madNN,1.484326053701341e-11,2.738010338562834e-09
HRV_VLF,1.418678812781116e-11,2.616916442858793e-09
HRV_LF,1.2113305405223743e-11,2.2344386767966156e-09
HRV_pNN50_norm,8.113595757758434e-12,1.4966461723329695e-09
HRV_HF_norm,4.367199331933995e-12,8.055802087137599e-10
HRV_minNN,3.1858025495967845e-12,5.876579674435145e-10
SCR_Phasic,2.1472728811463983e-12,3.960892105635301e-10
HRV_minNN_norm,1.858574324686803e-12,3.428354372201711e-10
HRV_maxNN,0.0,0.0
SCR_Amplitude_norm,0.0,0.0
SCR_Onsets_norm,0.0,0.0
HRV_MeanNN,0.0,0.0
