Feature,SHAP Importance,SHAP Percentage
HRV_pNN20,0.08171362451232225,22.03759779073666
HRV_VLF_norm,0.05679160120684332,15.316300956636631
EDA_Tonic,0.045759493882742176,12.341018126585212
HRV_minNN,0.044684662054265564,12.051143437143702
HRV_LF_norm,0.03291518548180914,8.8769972349742
SCR_Amplitude_norm,0.025815052973513917,6.962140741793565
HRV_pNN20_norm,0.025395163058722782,6.848899344000003
EDA_Tonic_norm,0.02230387120281988,6.015199370700018
HRV_VLF,0.01905674662775519,5.139472393849281
HRV_LF,0.016356485157823147,4.411230603580729
HRV_MeanNN,0.0,0.0
HRV_pNN50_norm,0.0,0.0
SCR_Onsets_norm,0.0,0.0
HRV_minNN_norm,0.0,0.0
HRV_HF_norm,0.0,0.0
SCR_Amplitude,0.0,0.0
SCR_Phasic,0.0,0.0
SCR_Onsets,0.0,0.0
HRV_pNN50,0.0,0.0
HRV_madNN,0.0,0.0
HRV_prc80NN,0.0,0.0
HRV_maxNN,0.0,0.0
HRV_LFHF,0.0,0.0
HRV_HF,0.0,0.0
SCR_Phasic_norm,0.0,0.0
