Feature,SHAP Importance,SHAP Percentage
HRV_pNN20,0.08223587035227008,22.212499135045192
HRV_VLF_norm,0.05684355965816241,15.353853669099859
EDA_Tonic,0.045621995191085625,12.322828522152943
HRV_minNN,0.045109896453899345,12.184506975751336
HRV_LF_norm,0.033574778325928555,9.068788733302865
SCR_Amplitude_norm,0.02544153147036515,6.871940351077114
HRV_pNN20_norm,0.025051922587753586,6.7667041940212735
EDA_Tonic_norm,0.021059075667852138,5.688207567491308
HRV_VLF,0.018922922917242194,5.11121736939416
HRV_LF,0.01636185110998326,4.419453482663953
HRV_MeanNN,0.0,0.0
HRV_pNN50_norm,0.0,0.0
SCR_Onsets_norm,0.0,0.0
HRV_minNN_norm,0.0,0.0
HRV_HF_norm,0.0,0.0
SCR_Amplitude,0.0,0.0
SCR_Phasic,0.0,0.0
SCR_Onsets,0.0,0.0
HRV_pNN50,0.0,0.0
HRV_madNN,0.0,0.0
HRV_prc80NN,0.0,0.0
HRV_maxNN,0.0,0.0
HRV_LFHF,0.0,0.0
HRV_HF,0.0,0.0
SCR_Phasic_norm,0.0,0.0
